,Author_A,Author_B,sh_path
0,0,1236,1
1,0,1655,1
2,0,1797,1
3,0,2414,1
4,0,2568,1
5,0,356,1
6,0,3649,1
7,0,3760,1
8,1,1242,1
9,1,1309,1
10,1,141,1
11,1,19,1
12,1,1917,1
13,1,2214,1
14,1,337,1
15,1,3393,1
16,1,340,1
17,1,3417,1
18,1,3552,1
19,1,3630,1
20,1,3675,1
21,1,3828,1
22,1,3951,1
23,1,750,1
24,10,2902,1
25,100,3313,1
26,100,348,1
27,100,400,1
28,100,890,1
29,1000,2128,1
30,1001,2186,1
31,1001,2727,1
32,1001,2995,1
33,1001,3228,1
34,1001,3593,1
35,1001,3605,1
36,1001,3809,1
37,1002,1042,1
38,1003,1139,1
39,1003,1429,1
40,1003,2310,1
41,1003,2973,1
42,1003,3150,1
43,1003,3638,1
44,1004,1934,1
45,1005,1096,1
46,1005,1183,1
47,1005,1502,1
48,1005,1708,1
49,1005,1833,1
50,1005,2012,1
51,1005,2022,1
52,1005,2215,1
53,1005,2239,1
54,1005,2294,1
55,1005,2666,1
56,1005,2681,1
57,1005,2706,1
58,1005,2743,1
59,1005,2749,1
60,1005,2785,1
61,1005,2839,1
62,1005,3064,1
63,1005,3148,1
64,1005,3624,1
65,1005,3955,1
66,1005,3961,1
67,1005,4046,1
68,1006,1325,1
69,1006,1726,1
70,1006,2622,1
71,1006,3351,1
72,1006,3441,1
73,1006,3955,1
74,1006,4013,1
75,1007,1192,1
76,1008,1348,1
77,1008,1430,1
78,1008,3844,1
79,101,2015,1
80,101,2106,1
81,101,686,1
82,101,757,1
83,1010,3482,1
84,1010,3493,1
85,1010,3567,1
86,1010,3729,1
87,1010,4089,1
88,1012,1670,1
89,1012,2523,1
90,1012,3606,1
91,1013,1056,1
92,1013,3436,1
93,1014,1274,1
94,1014,1318,1
95,1014,2090,1
96,1014,2585,1
97,1014,3639,1
98,1014,3940,1
99,1014,4009,1
100,1015,1640,1
101,1015,2644,1
102,1017,1542,1
103,1017,3859,1
104,1018,1208,1
105,1018,1450,1
106,1018,2475,1
107,1018,2518,1
108,1018,2588,1
109,1018,3044,1
110,1018,3138,1
111,1018,3587,1
112,1019,3306,1
113,102,1802,1
114,102,2260,1
115,1020,1676,1
116,1020,2084,1
117,1020,2154,1
118,1020,3111,1
119,1021,1163,1
120,1021,1398,1
121,1021,1715,1
122,1021,2148,1
123,1021,2287,1
124,1021,2409,1
125,1021,2474,1
126,1021,2773,1
127,1021,2915,1
128,1021,2960,1
129,1021,2980,1
130,1021,3196,1
131,1021,3389,1
132,1021,3661,1
133,1021,3728,1
134,1021,4031,1
135,1023,1201,1
136,1023,2438,1
137,1023,2599,1
138,1023,2861,1
139,1023,3576,1
140,1023,3810,1
141,1023,4037,1
142,1024,1775,1
143,1025,2066,1
144,1025,3021,1
145,1026,2566,1
146,1026,3423,1
147,1027,3992,1
148,1028,1264,1
149,1028,1884,1
150,1028,2185,1
151,1028,2747,1
152,1028,3252,1
153,1028,3680,1
154,1029,1152,1
155,1029,2464,1
156,1029,2472,1
157,1029,2617,1
158,1029,3022,1
159,1029,3216,1
160,1029,3383,1
161,1029,3831,1
162,103,2595,1
163,1030,1034,1
164,1030,1074,1
165,1030,1076,1
166,1030,1173,1
167,1030,1174,1
168,1030,1183,1
169,1030,1190,1
170,1030,1200,1
171,1030,1228,1
172,1030,1240,1
173,1030,1343,1
174,1030,1344,1
175,1030,1477,1
176,1030,1516,1
177,1030,1658,1
178,1030,1703,1
179,1030,1712,1
180,1030,1715,1
181,1030,1735,1
182,1030,1989,1
183,1030,2086,1
184,1030,2148,1
185,1030,2151,1
186,1030,2154,1
187,1030,2180,1
188,1030,2324,1
189,1030,2446,1
190,1030,2767,1
191,1030,2783,1
192,1030,2808,1
193,1030,2810,1
194,1030,2817,1
195,1030,2868,1
196,1030,2938,1
197,1030,2990,1
198,1030,2997,1
199,1030,3034,1
200,1030,3130,1
201,1030,3148,1
202,1030,3162,1
203,1030,3183,1
204,1030,3196,1
205,1030,3197,1
206,1030,3214,1
207,1030,3221,1
208,1030,3308,1
209,1030,3556,1
210,1030,3619,1
211,1030,3626,1
212,1030,3657,1
213,1030,3706,1
214,1030,3734,1
215,1030,3783,1
216,1030,3785,1
217,1030,3804,1
218,1030,3883,1
219,1031,1048,1
220,1031,3564,1
221,1031,3927,1
222,1032,3037,1
223,1032,3273,1
224,1033,1059,1
225,1033,2193,1
226,1034,1173,1
227,1034,1174,1
228,1034,1190,1
229,1034,1343,1
230,1034,1477,1
231,1034,1516,1
232,1034,1703,1
233,1034,2151,1
234,1034,2624,1
235,1034,3221,1
236,1034,3308,1
237,1034,3619,1
238,1034,3883,1
239,1035,1073,1
240,1036,1240,1
241,1036,1398,1
242,1036,2264,1
243,1036,3672,1
244,1037,1250,1
245,1037,2015,1
246,1037,2165,1
247,1037,2310,1
248,1037,2579,1
249,1037,2588,1
250,1037,2595,1
251,1037,2695,1
252,1037,2873,1
253,1037,3244,1
254,1037,3785,1
255,1037,3800,1
256,1037,3923,1
257,1037,3978,1
258,1037,4071,1
259,1038,1076,1
260,1038,1970,1
261,104,1429,1
262,104,1624,1
263,104,1934,1
264,104,2353,1
265,104,2462,1
266,104,2617,1
267,104,2806,1
268,104,2843,1
269,104,3635,1
270,104,3854,1
271,104,591,1
272,104,972,1
273,1040,1278,1
274,1041,2843,1
275,1041,3247,1
276,1042,1073,1
277,1042,1169,1
278,1042,1830,1
279,1042,2468,1
280,1042,2716,1
281,1042,3227,1
282,1042,3554,1
283,1042,3570,1
284,1042,3626,1
285,1042,3671,1
286,1042,3845,1
287,1042,3953,1
288,1042,3961,1
289,1042,4028,1
290,1042,4068,1
291,1044,3509,1
292,1045,3585,1
293,1047,3496,1
294,1048,3927,1
295,1049,1708,1
296,1049,3081,1
297,105,1250,1
298,105,3754,1
299,105,4080,1
300,1050,2294,1
301,1050,2743,1
302,1051,1131,1
303,1051,1190,1
304,1051,1228,1
305,1051,1310,1
306,1051,1389,1
307,1051,1470,1
308,1051,1547,1
309,1051,1576,1
310,1051,1628,1
311,1051,1710,1
312,1051,1799,1
313,1051,1849,1
314,1051,2207,1
315,1051,2229,1
316,1051,2237,1
317,1051,2398,1
318,1051,2462,1
319,1051,2611,1
